[2026-05-06 00:54:46] FrameRendered: at 2026-05-06 00:54:46 | Source: renderer
[2026-05-06 00:54:50] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 00:54:50] FrameRendered: at 2026-05-06 00:54:50 | Source: renderer
[2026-05-06 00:54:50] FrameRendered: at 2026-05-06 00:54:50 | Source: renderer
[2026-05-06 00:54:53] InputReceived: key_code=49 | Source: keyboard_linux
[2026-05-06 00:54:53] FrameRendered: at 2026-05-06 00:54:53 | Source: renderer
[2026-05-06 00:54:54] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-06 00:54:54] FrameRendered: at 2026-05-06 00:54:54 | Source: renderer
[2026-05-06 00:54:54] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 00:54:54] FrameRendered: at 2026-05-06 00:54:54 | Source: renderer
[2026-05-06 00:54:54] FrameRendered: at 2026-05-06 00:54:54 | Source: renderer
[2026-05-06 00:54:54] FrameRendered: at 2026-05-06 00:54:54 | Source: renderer
[2026-05-06 00:55:00] InputReceived: key_code=56 | Source: keyboard_linux
[2026-05-06 00:55:00] FrameRendered: at 2026-05-06 00:55:00 | Source: renderer
[2026-05-06 00:55:01] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 00:55:01] FrameRendered: at 2026-05-06 00:55:01 | Source: renderer
[2026-05-06 00:55:01] FrameRendered: at 2026-05-06 00:55:01 | Source: renderer
[2026-05-06 00:55:03] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 00:55:03] FrameRendered: at 2026-05-06 00:55:03 | Source: renderer
[2026-05-06 00:55:04] FrameRendered: at 2026-05-06 00:55:04 | Source: renderer
[2026-05-06 00:55:05] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:05] FrameRendered: at 2026-05-06 00:55:05 | Source: renderer
[2026-05-06 00:55:06] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 00:55:06] FrameRendered: at 2026-05-06 00:55:06 | Source: renderer
[2026-05-06 00:55:06] FrameRendered: at 2026-05-06 00:55:06 | Source: renderer
[2026-05-06 00:55:06] FrameRendered: at 2026-05-06 00:55:06 | Source: renderer
[2026-05-06 00:55:09] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:09] FrameRendered: at 2026-05-06 00:55:09 | Source: renderer
[2026-05-06 00:55:09] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:09] FrameRendered: at 2026-05-06 00:55:09 | Source: renderer
[2026-05-06 00:55:10] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:10] FrameRendered: at 2026-05-06 00:55:10 | Source: renderer
[2026-05-06 00:55:10] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:10] FrameRendered: at 2026-05-06 00:55:10 | Source: renderer
[2026-05-06 00:55:10] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:10] FrameRendered: at 2026-05-06 00:55:10 | Source: renderer
[2026-05-06 00:55:11] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:11] FrameRendered: at 2026-05-06 00:55:11 | Source: renderer
[2026-05-06 00:55:11] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:11] FrameRendered: at 2026-05-06 00:55:11 | Source: renderer
[2026-05-06 00:55:11] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:11] FrameRendered: at 2026-05-06 00:55:11 | Source: renderer
[2026-05-06 00:55:12] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 00:55:12] FrameRendered: at 2026-05-06 00:55:12 | Source: renderer
[2026-05-06 00:55:12] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 00:55:12] FrameRendered: at 2026-05-06 00:55:12 | Source: renderer
[2026-05-06 00:55:13] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 00:55:13] FrameRendered: at 2026-05-06 00:55:13 | Source: renderer
