x,y,z,emoji_idx,fg_color_idx,bg_color_idx,scale,rel_x,rel_y,rel_z
scale_info,0,0,0,0,0,1.90,0,0,0
0,0,1,0,0,7,1.90,0.00,0.00,0.10
1,0,1,0,0,7,1.90,0.10,0.00,0.10
5,0,1,0,0,7,1.90,0.50,0.00,0.10
6,0,1,0,0,7,1.90,0.60,0.00,0.10
8,1,1,1,0,7,1.90,0.80,0.10,0.10
7,4,1,1,0,7,1.90,0.70,0.40,0.10
2,5,1,1,0,7,1.90,0.20,0.50,0.10
8,6,1,2,0,7,1.90,0.80,0.60,0.10
5,9,1,2,0,7,1.90,0.50,0.90,0.10
8,9,1,2,0,7,1.90,0.80,0.90,0.10
5,11,1,3,0,7,1.90,0.50,1.10,0.10
5,13,1,3,0,7,1.90,0.50,1.30,0.10
