[2026-05-12 01:42:01] FrameRendered: at 2026-05-12 01:42:01 | Source: renderer
[2026-05-12 01:42:02] FrameRendered: at 2026-05-12 01:42:02 | Source: renderer
[2026-05-12 01:42:02] FrameRendered: at 2026-05-12 01:42:02 | Source: renderer
[2026-05-12 01:42:08] FrameRendered: at 2026-05-12 01:42:08 | Source: renderer
[2026-05-12 01:42:08] FrameRendered: at 2026-05-12 01:42:08 | Source: renderer
[2026-05-12 01:42:08] FrameRendered: at 2026-05-12 01:42:08 | Source: renderer
[2026-05-12 01:42:08] FrameRendered: at 2026-05-12 01:42:08 | Source: renderer
[2026-05-12 01:42:11] FrameRendered: at 2026-05-12 01:42:11 | Source: renderer
[2026-05-12 01:42:12] FrameRendered: at 2026-05-12 01:42:12 | Source: renderer
[2026-05-12 01:42:12] FrameRendered: at 2026-05-12 01:42:12 | Source: renderer
[2026-05-12 01:42:12] FrameRendered: at 2026-05-12 01:42:12 | Source: renderer
[2026-05-12 01:42:13] FrameRendered: at 2026-05-12 01:42:13 | Source: renderer
[2026-05-12 01:42:13] FrameRendered: at 2026-05-12 01:42:13 | Source: renderer
[2026-05-12 01:42:18] FrameRendered: at 2026-05-12 01:42:18 | Source: renderer
[2026-05-12 01:42:20] FrameRendered: at 2026-05-12 01:42:20 | Source: renderer
[2026-05-12 01:42:20] FrameRendered: at 2026-05-12 01:42:20 | Source: renderer
