[2026-05-10 03:13:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
