[2026-05-30 08:45:33] FrameRendered: at 2026-05-30 08:45:33 | Source: renderer
[2026-05-30 08:45:35] InputReceived: key_code=52 | Source: keyboard_linux
[2026-05-30 08:45:35] FrameRendered: at 2026-05-30 08:45:35 | Source: renderer
[2026-05-30 08:45:35] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-30 08:45:35] FrameRendered: at 2026-05-30 08:45:35 | Source: renderer
[1780155951] EntityMoved: xlector | from (-3,-2) to (-4,-2)
[2026-05-30 08:45:51] FrameRendered: at 2026-05-30 08:45:51 | Source: renderer
[1780155951] EntityMoved: xlector | from (-4,-2) to (-5,-2)
[2026-05-30 08:45:52] FrameRendered: at 2026-05-30 08:45:52 | Source: renderer
[1780155952] EntityMoved: xlector | from (-5,-2) to (-5,-1)
[2026-05-30 08:45:52] FrameRendered: at 2026-05-30 08:45:52 | Source: renderer
[1780155952] EntityMoved: xlector | from (-5,-1) to (-5,0)
[2026-05-30 08:45:52] FrameRendered: at 2026-05-30 08:45:52 | Source: renderer
[1780155952] EntityMoved: xlector | from (-5,0) to (-4,0)
[2026-05-30 08:45:52] FrameRendered: at 2026-05-30 08:45:52 | Source: renderer
[1780155953] EntityMoved: xlector | from (-4,0) to (-3,0)
[2026-05-30 08:45:53] FrameRendered: at 2026-05-30 08:45:53 | Source: renderer
[1780155953] EntityMoved: xlector | from (-3,0) to (-2,0)
[2026-05-30 08:45:53] FrameRendered: at 2026-05-30 08:45:53 | Source: renderer
[2026-05-30 08:45:55] InputReceived: key_code=99 | Source: keyboard_linux
[2026-05-30 08:45:55] FrameRendered: at 2026-05-30 08:45:55 | Source: renderer
