[2026-05-23 06:28:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:28:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:28:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:40] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:52] FrameRendered: from current_frame.txt | Source: renderer
